,dist,crop,eff
342,KURUNG KUMEY,Sugarcane,21.551111111111112
343,KUSHI NAGAR,Sugarcane,53.105564995913404
344,LAHUL AND SPITI,Potato,17.976633165829146
345,LAKHIMPUR,Coconut ,6709.5437017994855
346,LAKHISARAI,Sugarcane,84.21666666666667
347,LALITPUR,Sugarcane,41.37117750439367
348,LATEHAR,Potato,7.296268404155094
349,LATUR,Banana,64.3
350,LAWNGTLAI,Sugarcane,5.287128712871287
351,LEH LADAKH,Potato,9.332921810699588
352,LOHARDAGA,Sugarcane,44.7880565182618
353,LOHIT,Potato,8.998943568976141
354,LONGDING,Dry chillies,6.935779816513762
355,LONGLENG,Sugarcane,40.23170731707317
356,LOWER DIBANG VALLEY,Sugarcane,11.104410441044104
357,LOWER SUBANSIRI,Sugarcane,19.02141802067947
358,LUCKNOW,Sugarcane,53.18869888475837
359,LUDHIANA,Sugarcane,67.91648336773713
360,LUNGLEI,Tapioca,6.797872340425532
361,MADHEPURA,Sugarcane,52.008456802652056
362,MADHUBANI,Sugarcane,30.530432770192085
363,MADURAI,Coconut ,3173.9047171230814
364,MAHARAJGANJ,Sugarcane,55.71469298245614
365,MAHASAMUND,Banana,39.644067796610166
366,MAHBUBNAGAR,Coconut ,11063.5
367,MAHE,Coconut ,9375.367075487995
368,MAHENDRAGARH,Sweet potato,20.0
369,MAHESANA,Onion,26.657894736842106
370,MAHOBA,Sugarcane,41.35705603889458
371,MAINPURI,Sugarcane,51.007037126910944
372,MALAPPURAM,Coconut ,7464.101711673771
373,MALDAH,Coconut ,2484.3011613691933
374,MALKANGIRI,Sugarcane,60.48216216216217
375,MAMIT,Sugarcane,10.491566265060241
376,MANDI,Potato,10.052327754474854
377,MANDLA,Sugarcane,22.150231049061055
378,MANDSAUR,Papaya,36.470588235294116
379,MANDYA,Sugarcane,119.86255108466163
380,MANSA,Sugarcane,60.0
381,MARIGAON,Coconut ,5088.52857803112
382,MATHURA,Sugarcane,50.056766345666496
383,MAU,Sugarcane,44.14094157670201
384,MAYURBHANJ,Sugarcane,48.19686411149825
385,MEDAK,Coconut ,10591.0
386,MEDINIPUR EAST,Coconut ,2103.615334288443
387,MEDINIPUR WEST,Coconut ,2758.998132121737
388,MEERUT,Sugarcane,66.33923890019085
389,MEWAT,Sugarcane,56.354916067146284
390,MIRZAPUR,Sugarcane,50.8504165578101
391,MOGA,Sugarcane,61.25
392,MOKOKCHUNG,Sugarcane,37.40384615384615
393,MON,Sugarcane,42.171581769437
394,MORADABAD,Sugarcane,57.93756992888352
395,MORENA,Sugarcane,37.60279383029144
396,MUKTSAR,Sugarcane,63.827586206896555
397,MUMBAI,Maize,0.6666666666666666
398,MUNGELI,Banana,33.40384615384615
399,MUNGER,Sugarcane,61.70134638922889
400,MURSHIDABAD,Coconut ,2335.914206406811
401,MUZAFFARNAGAR,Sugarcane,66.88593090421047
402,MUZAFFARPUR,Sugarcane,48.89300206212998
403,MYSORE,Sugarcane,106.99899205539313
404,NABARANGPUR,Sugarcane,42.58817889539557
405,NADIA,Coconut ,2512.364362934363
406,NAGAON,Coconut ,7786.282986623581
407,NAGAPATTINAM,Coconut ,2543.5723781946367
408,NAGAUR,Sugarcane,51.714285714285715
409,NAGPUR,Sugarcane,65.41305648124413
410,NAINITAL,Sugarcane,59.63331346924068
411,NALANDA,Sugarcane,42.244897959183675
412,NALBARI,Coconut ,4732.045838010065
413,NALGONDA,Coconut ,10874.143617021276
414,NAMAKKAL,Coconut ,3423.378914815856
415,NAMSAI,Potato,6.6722689075630255
416,NANDED,Sugarcane,66.33149070792344
417,NANDURBAR,Sugarcane,72.09836713519923
418,NARAYANPUR,Banana,35.28947368421053
419,NARMADA,Banana,67.65570175438596
420,NARSINGHPUR,Sugarcane,46.39191766381537
421,NASHIK,Sugarcane,70.99047227564338
422,NAVSARI,Banana,66.54545454545455
423,NAWADA,Sugarcane,43.011511325659114
424,NAWANSHAHR,Sugarcane,61.41525558120276
