,District,State,Latitude,Longitude,Crop,eff
100,DANTEWADA,Chhattisgarh,18.653854086538463,81.07200120192313,Banana,40.05604395604396
101,DHAMTARI,Chhattisgarh,20.554912627291245,81.7569195519348,Banana,46.93830334190231
102,DURG,Chhattisgarh,21.194463849287164,81.33181639511197,Papaya,43.62809917355372
103,JANJGIR-CHAMPA,Chhattisgarh,21.961093750000025,82.80495408653843,Banana,29.390070921985817
104,JASHPUR,Chhattisgarh,22.77286167664669,83.8703962075848,Papaya,35.666666666666664
105,KANKER,Chhattisgarh,20.139461285008245,81.06913080724874,Banana,41.5819209039548
106,KABIRDHAM,Chhattisgarh,22.048000792079208,81.16271188118817,Banana,34.669172932330824
107,KORBA,Chhattisgarh,22.491712499999995,82.57604326923074,Banana,30.27027027027027
108,KOREA,Chhattisgarh,23.50412776859501,82.12515636363635,Banana,31.333333333333332
109,MAHASAMUND,Chhattisgarh,21.223727037773354,82.65925427435384,Banana,39.644067796610166
110,RAIGARH,Chhattisgarh,22.008265068493166,83.27797698630134,Banana,28.755020080321284
111,RAIPUR,Chhattisgarh,20.88603153846152,82.20032759615388,Banana,42.091275167785234
112,RAJNANDGAON,Chhattisgarh,21.058414734950603,80.78526693620836,Papaya,46.0
113,SURGUJA,Chhattisgarh,23.32719278728607,83.23582493887531,Banana,29.08219178082192
114,DADRA AND NAGAR HAVELI,Dadra and Nagar Haveli,20.215132170542628,73.09454961240311,Sugarcane,77.19943276148312
115,RAMBAN,Daman and Diu,20.431616666666677,72.8392366071429,Maize,0.9226255224136944
116,JUNAGADH,Daman and Diu,20.72568199498111,70.83985639899612,Sugarcane,83.0
117,NORTH GOA,Goa,15.548723418714054,73.80667997909038,Coconut ,3283.9614769157824
118,SOUTH GOA,Goa,15.195278658183785,73.941792596877,Coconut ,3290.9472927311203
119,AHMADABAD,Gujarat,22.605425564971743,72.23898135593227,Sugarcane,67.77777777777777
120,AMRELI,Gujarat,21.04832649310872,71.43457637825426,Banana,77.0
121,ANAND,Gujarat,22.282718206229863,72.57782051557454,Banana,73.11679644048944
122,BANAS KANTHA,Gujarat,24.258538965517253,71.93205252873561,Sugarcane,50.0
123,BHARUCH,Gujarat,21.75787276237761,72.67326346710801,Banana,65.19861660079052
124,BHAVNAGAR,Gujarat,21.70219390341736,72.16272632761141,Sugarcane,65.0952380952381
125,GANDHINAGAR,Gujarat,23.193679790026252,72.67221679790026,Banana,53.19266055045872
126,JAMNAGAR,Gujarat,22.410600414263328,69.62062005768233,Sugarcane,71.66666666666667
127,KACHCHH,Gujarat,23.48057203301311,68.82192301497916,Banana,68.86363636363636
128,KHEDA,Gujarat,22.88765312500002,73.018803515625,Sugarcane,71.9375
129,MAHESANA,Gujarat,23.529355452865065,72.45545194085031,Onion,26.657894736842106
130,NARMADA,Gujarat,21.70666386292833,73.68403208722742,Banana,67.65570175438596
131,NAVSARI,Gujarat,20.866973318871995,72.86184869848157,Banana,66.54545454545455
132,PANCH MAHALS,Gujarat,22.80435606837605,73.61984598290586,Sugarcane,63.0
133,PATAN,Gujarat,23.80634198473284,71.75162977099237,Potato,22.685714285714287
134,PORBANDAR,Gujarat,21.55092351651571,69.71896987722886,Onion,28.11764705882353
135,RAJKOT,Gujarat,22.40603377715488,70.83679439383323,Sugarcane,75.17241379310344
136,SABAR KANTHA,Gujarat,23.71803594548552,73.13638790459964,Sugarcane,69.58333333333333
137,SURAT,Gujarat,21.25761372772093,72.93488716344339,Sugarcane,71.04847871323322
138,SURENDRANAGAR,Gujarat,22.82672007299272,71.48358740875906,Sugarcane,69.51219512195122
139,VADODARA,Gujarat,22.26133739279589,73.49433010291594,Banana,69.33399602385686
140,VALSAD,Gujarat,20.44238231644259,72.9148584798345,Sugarcane,62.07856234096692
141,AMBALA,Haryana,30.3503672316384,76.94970310734456,Sugarcane,56.25557669519731
142,BHIWANI,Haryana,28.728868064516128,76.02110225806452,Sugarcane,49.6091515729266
143,FARIDABAD,Haryana,28.14873109756098,77.32718536585368,Sugarcane,49.00174452413258
144,FATEHABAD,Haryana,29.57298318584072,75.54608716814157,Sugarcane,57.85762580894427
145,GURGAON,Haryana,28.043894789579163,77.01935130260523,Sugarcane,41.03405826836274
146,HISAR,Haryana,29.23628731117825,75.84324682779452,Sugarcane,51.43141838807343
147,JHAJJAR,Haryana,28.59651868131869,76.61137142857145,Sugarcane,47.84541460030321
148,JIND,Haryana,29.45149821958457,76.29598575667653,Sugarcane,54.76860713883572
149,KAITHAL,Haryana,29.96068539094649,76.37698930041155,Sugarcane,54.780913137853645
150,KARNAL,Haryana,29.703200647249204,76.87488025889972,Sugarcane,59.18513057762969
151,KURUKSHETRA,Haryana,30.05652659846548,76.78774680306903,Sugarcane,62.68793871321405
152,MAHENDRAGARH,Haryana,28.1352161458333,76.14018072916659,Sweet potato,20.0
153,PANCHKULA,Haryana,30.700897142857134,76.97173238095236,Sugarcane,57.13137806347931
154,PANIPAT,Haryana,29.34352134146342,76.92895914634147,Sugarcane,59.402522959770714
155,REWARI,Haryana,28.19164714828897,76.55956007604564,Onion,16.44736842105263
156,ROHTAK,Haryana,28.892517647058817,76.53123235294117,Sugarcane,49.323607008839886
157,SIRSA,Haryana,29.63583446327684,74.90970480225988,Sugarcane,49.92554961898923
158,SONIPAT,Haryana,29.05805707964603,76.85587079646017,Sugarcane,55.4497901039571
159,YAMUNANAGAR,Haryana,30.26466182572615,77.31652821576763,Sugarcane,53.28012036027303
160,CHAMBA,Himachal Pradesh,32.66741814595661,76.39354063116366,Potato,9.787649566772108
161,HAMIRPUR,Himachal Pradesh,31.67668481012659,76.49767088607594,Sugarcane,42.28486890339699
162,KANGRA,Himachal Pradesh,32.14093603238864,76.41205910931173,Potato,8.384665750016369
163,KINNAUR,Himachal Pradesh,31.60667184065933,78.51613736263741,Potato,7.1782352941176475
164,KULLU,Himachal Pradesh,31.90911922077925,77.40922649350647,Potato,8.025427193197613
165,LAHUL AND SPITI,Himachal Pradesh,32.51717030651338,77.62470977011492,Potato,17.976633165829146
166,MANDI,Himachal Pradesh,31.635805940594054,76.96556930693067,Potato,10.052327754474854
167,SHIMLA,Himachal Pradesh,31.155725451807253,77.62573042168668,Sugarcane,12.5
168,SIRMAUR,Himachal Pradesh,30.682764453961443,77.43184689507493,Sugarcane,14.104484304932736
169,SOLAN,Himachal Pradesh,31.03864311926604,76.94442140672783,Onion,8.971563981042655
170,UNA,Himachal Pradesh,31.58330388349513,76.18353932038836,Sugarcane,13.757682797598022
171,BADGAM,Jammu and Kashmir,33.93258113207548,74.79798113207546,Potato,11.174120603015076
172,DODA,Jammu and Kashmir,33.359614675767915,76.07163720136518,Potato,5.536842105263157
173,JAMMU,Jammu and Kashmir,32.713199095022645,74.8477520361991,Potato,13.203425229741018
174,KARGIL,Jammu and Kashmir,33.565994894894914,76.63675315315312,Potato,9.348235294117647
175,KATHUA,Jammu and Kashmir,32.51781678321678,75.58901398601404,Potato,5.8999999999999995
176,PULWAMA,Jammu and Kashmir,33.88414418604652,75.00921860465118,Potato,11.871907756813416
177,POONCH,Jammu and Kashmir,33.791241290322574,74.29593161290322,Potato,8.898591549295775
178,RAJAURI,Jammu and Kashmir,33.27232198581561,74.40776879432627,Potato,5.882352941176471
179,SRINAGAR,Jammu and Kashmir,34.27312898550724,75.11021159420288,Potato,9.996710075394105
180,UDHAMPUR,Jammu and Kashmir,33.04770670731707,75.15286951219511,Potato,7.589749798224375
181,BOKARO,Jharkhand,23.6814965034965,85.98398374125864,Potato,15.555417795648882
182,CHATRA,Jharkhand,24.11619945750453,84.93295804701627,Sugarcane,43.3257431226537
183,DEOGHAR,Jharkhand,24.33070100755672,86.75697632241814,Potato,7.894464032599142
184,DHANBAD,Jharkhand,23.854509090909097,86.40372924901185,Potato,7.375827165014517
185,DUMKA,Jharkhand,24.275006125574265,87.27662450229711,Onion,6.715304798962387
186,GARHWA,Jharkhand,24.082114689265527,83.68664265536722,Sugarcane,41.97530864197531
187,GIRIDIH,Jharkhand,24.30578509874329,86.08710915619386,Onion,12.036412688896334
188,GODDA,Jharkhand,24.8189,87.2941735483871,Sugarcane,43.351131451817956
189,GUMLA,Jharkhand,23.078532948929148,84.55056787479396,Onion,5.20094323391594
190,HAZARIBAGH,Jharkhand,23.94324197396964,85.49441312364429,Sugarcane,18.898019069255128
191,JAMTARA,Jharkhand,23.97873318077801,86.95325080091534,Onion,8.828803972961786
192,KODERMA,Jharkhand,24.556719434628963,85.7169091872792,Sugarcane,43.2285484550293
193,LATEHAR,Jharkhand,23.72511185840708,84.48298743362837,Potato,7.296268404155094
194,LOHARDAGA,Jharkhand,23.488796043165483,84.6605169064748,Sugarcane,44.7880565182618
195,PAKUR,Jharkhand,24.57260428082189,87.69691969178076,Sugarcane,43.24324324324324
196,PALAMU,Jharkhand,24.196925968109337,84.20310842824594,Sugarcane,42.00275839010323
197,RANCHI,Jharkhand,23.184235061391547,85.31781937244203,Potato,7.336459147520781
198,SAHEBGANJ,Jharkhand,24.93667989690721,87.68264097938142,Potato,11.022676496872208
199,SARAIKELA KHARSAWAN,Jharkhand,22.85591392111368,85.89614918793507,Potato,7.171694167822611
200,SIMDEGA,Jharkhand,22.608760391198054,84.59193691931536,Potato,6.071342114631542
201,BAGALKOT,Karnataka,16.15860676328503,75.64526070853468,Sugarcane,97.16992420569095
202,BANGALORE RURAL,Karnataka,12.936827087794448,77.47369314775169,Sugarcane,92.41353223228556
203,BENGALURU URBAN,Karnataka,12.901924930747915,77.58685595567866,Sugarcane,93.43200836820084
204,BELGAUM,Karnataka,16.16107219152853,74.72329042357275,Sugarcane,87.35108536806793
205,BELLARY,Karnataka,15.074377548209377,76.47228471074374,Sugarcane,89.50978043912176
206,BIDAR,Karnataka,17.950361730769224,77.19459961538459,Sugarcane,67.61235618684427
207,BIJAPUR,Karnataka,16.84015316666667,75.95909166666665,Sugarcane,76.85889718635987
208,CHAMARAJANAGAR,Karnataka,11.952479999999998,77.02384959999996,Sugarcane,100.13355115796395
209,CHIKMAGALUR,Karnataka,13.425288289676422,75.67626502311249,Sugarcane,82.67432932887725
210,CHITRADURGA,Karnataka,14.29102220394736,76.57821957236843,Sugarcane,94.72795273115847
211,DAKSHIN KANNAD,Karnataka,12.891204548174732,74.96216277678026,Sugarcane,89.97936798119613
212,DAVANGERE,Karnataka,14.330414586709884,75.91723841166937,Sugarcane,104.24711087631249
213,DHARWAD,Karnataka,15.343831376975173,75.13831264108359,Sugarcane,66.78546637380326
214,GADAG,Karnataka,15.507128256880746,75.64861302752298,Sugarcane,92.3530866302865
215,GULBARGA,Karnataka,17.070459515951594,76.87503850385033,Sugarcane,61.653401758948604
216,HASSAN,Karnataka,12.945098749999998,76.11049549999997,Sugarcane,102.10680773054933
217,HAVERI,Karnataka,14.737582809224318,75.3961230607966,Sugarcane,86.27345499057773
218,KODAGU,Karnataka,12.39684468085106,75.79336595744688,Sugarcane,94.0
219,KOLAR,Karnataka,13.312799881235172,78.01376947743476,Sugarcane,95.17528655297735
220,KOPPAL,Karnataka,15.651253271028034,76.1617048598131,Sugarcane,88.60849373663306
